R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,B_avg_KD,B_avg_opp_KD,B_avg_SIG_STR_pct,B_avg_opp_SIG_STR_pct,B_avg_TD_pct,B_avg_opp_TD_pct,B_avg_SUB_ATT,B_avg_opp_SUB_ATT,B_avg_REV,B_avg_opp_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_TD_att,B_avg_TD_landed,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_BODY_att,B_avg_BODY_landed,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_LEG_att,B_avg_LEG_landed,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_avg_KD,R_avg_opp_KD,R_avg_SIG_STR_pct,R_avg_opp_SIG_STR_pct,R_avg_TD_pct,R_avg_opp_TD_pct,R_avg_SUB_ATT,R_avg_opp_SUB_ATT,R_avg_REV,R_avg_opp_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_avg_TD_att,R_avg_TD_landed,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_BODY_att,R_avg_BODY_landed,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_LEG_att,R_avg_LEG_landed,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,Year,Month,day,name_R_fighter,views_R_fighter,likes_R_fighter,dislikes_R_fighter,commentCounts_R_fighter,favoriteCounts_R_fighter,name_B_fighter,views_B_fighter,likes_B_fighter,dislikes_B_fighter,commentCounts_B_fighter,favoriteCounts_B_fighter
Adrian Yanez,Gustavo Lopez,Chris Tognoni,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Bantamweight,0.0,0.0,0.42,0.495,0.33,0.36,0.5,1.0,0.0,0.0,50.0,20.0,84.0,45.0,76.5,41.0,114.0,64.0,1.5,1.0,9.0,6.5,39.5,11.0,63.0,27.5,7.5,7.0,12.0,9.0,3.0,2.0,9.0,8.5,35.0,12.5,43.5,17.5,10.5,4.5,4.0,3.0,4.5,3.0,36.5,24.5,34.0,277.5,531.5,4,0,0,1,1,1,1,0,0,0,0,0,1,0,Orthodox,165.1,170.18,135.0,1.0,0.0,0.5,0.46,0.0,0.0,0.0,0.0,0.0,0.0,34.0,17.0,13.0,6.0,35.0,18.0,16.0,9.0,0.0,0.0,3.0,0.0,32.0,15.0,11.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,33.0,16.0,12.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,54.0,166.0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,170.18,177.8,135.0,31.0,27.0,2021,3,20,Adrian Yanez,154195.0,2281.0,195.0,463.0,0.0,Gustavo Lopez,470547.0,26606.0,556.0,3214.0,0.0
Trevin Giles,Roman Dolidze,Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Middleweight,0.5,0.0,0.66,0.305,0.3,0.5,1.5,0.0,0.0,0.0,65.5,35.0,50.0,16.5,113.5,68.5,68.5,29.0,2.5,1.5,0.5,0.5,46.0,20.0,36.0,7.5,12.0,8.0,8.0,3.0,7.5,7.0,6.0,6.0,58.0,30.0,48.0,15.5,0.5,0.5,0.5,0.5,7.0,4.5,1.5,0.5,219.5,24.5,577.5,4,0,2,0,2,2,0,0,0,1,0,1,0,0,Orthodox,187.96,193.04,205.0,1.03125,0.0625,0.576875,0.38125,0.40625,0.11625,0.25,1.1875,0.375,0.25,77.5625,43.15625,69.15625,27.59375,93.125,57.21875,98.34375,52.46875,1.28125,0.78125,4.6875,0.4375,71.09375,38.0625,50.40625,13.34375,4.6875,3.3125,9.09375,6.15625,1.78125,1.78125,9.65625,8.09375,58.3125,30.4375,63.3125,23.125,6.96875,3.65625,5.0,4.125,12.28125,9.0625,0.84375,0.34375,176.15625,154.6875,747.34375,17,0,2,0,2,4,2,0,0,1,0,3,0,0,Orthodox,182.88,187.96,185.0,32.0,28.0,2021,3,20,Trevin Giles,481726.0,4367.0,421.0,993.0,0.0,Roman Dolidze,1323650.0,12765.0,476.0,1266.0,0.0
Tai Tuivasa,Harry Hunsucker,Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Heavyweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,190.5,241.0,0.546875,0.1875,0.53890625,0.59859375,0.0,0.3125,0.0,0.25,0.0,0.0,59.234375,30.375,43.8125,24.796875,70.5,41.390625,50.234375,30.90625,0.03125,0.0,2.84375,1.75,42.5,16.78125,34.296875,17.9375,5.78125,4.546875,6.125,3.71875,10.953125,9.046875,3.390625,3.140625,45.875,20.28125,36.34375,18.6875,11.328125,8.5625,1.4375,1.171875,2.03125,1.53125,6.03125,4.9375,82.453125,89.78125,448.203125,13,0,3,0,3,4,3,0,0,0,1,3,0,0,Southpaw,187.96,190.5,264.0,32.0,28.0,2021,3,20,Tai Tuivasa,2977204.0,31263.0,2120.0,6669.0,0.0,,,,,,
Cheyanne Buys,Montserrat Conejo,Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Blue,False,WomenStrawweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,152.4,154.94,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,160.02,160.02,115.0,28.0,25.0,2021,3,20,Cheyanne Buys,5549590.0,27736.0,3034.0,4097.0,0.0,Montserrat Conejo,801950.0,6992.0,718.0,1912.0,0.0
Marion Reneau,Macy Chiasson,Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Blue,False,WomenBantamweight,0.125,0.0,0.535625,0.5787500000000001,0.185,0.16625,0.125,0.1875,0.25,0.0,109.1875,57.9375,50.625,28.4375,170.4375,105.625,74.375,44.25,5.375,1.5,2.0,0.625,77.375,31.375,41.5625,22.625,31.1875,26.1875,7.6875,4.9375,0.625,0.375,1.375,0.875,33.5625,11.0,32.0625,13.9375,39.0625,28.8125,13.3125,10.75,36.5625,18.125,5.25,3.75,390.25,156.3125,764.0,11,1,3,0,3,4,1,0,0,0,1,2,1,0,Orthodox,180.34,182.88,135.0,0.0,0.0009765625,0.403076171875,0.5549609375,0.51171875,0.62875,0.2314453125,0.03125,0.03125,0.5,109.3310546875,44.3623046875,148.8466796875,84.5546875,137.154296875,70.1982421875,172.4990234375,106.6806640625,2.26171875,1.26171875,3.1376953125,1.771484375,86.375,26.0302734375,94.2255859375,38.693359375,17.2724609375,13.4697265625,37.7177734375,31.658203125,5.68359375,4.8623046875,16.9033203125,14.203125,85.845703125,27.9072265625,106.9130859375,48.4794921875,18.99609375,13.970703125,35.3125,32.0595703125,4.4892578125,2.484375,6.62109375,4.015625,141.28515625,310.15234375,874.380859375,30,0,2,0,2,5,6,0,0,0,1,2,2,0,Orthodox,167.64,172.72,135.0,29.0,43.0,2021,3,20,Marion Reneau,202741.0,2568.0,213.0,654.0,0.0,Macy Chiasson,234280.0,3145.0,283.0,864.0,0.0
Leonardo Santos,Grant Dawson,Chris Tognoni,2021-03-20,"Las Vegas, Nevada, USA",Blue,False,Lightweight,0.0,0.0,0.515,0.4737499999999999,0.435,0.25,1.25,0.625,0.0,0.25,86.0,40.75,55.5,25.125,150.625,93.5,79.0,46.75,6.375,2.625,0.25,0.25,60.625,23.125,42.375,14.625,10.0,4.5,10.625,8.25,15.375,13.125,2.5,2.25,68.875,29.625,50.125,20.25,3.125,2.0,3.0,2.75,14.0,9.125,2.375,2.125,431.75,17.375,717.875,10,0,4,0,4,4,0,0,0,0,2,0,2,0,Switch,177.8,182.88,145.0,0.3125,0.015625,0.56515625,0.34359375,0.33703125,0.04890625,0.0390625,0.0,0.0,0.5,78.9296875,42.1875,78.6171875,32.046875,110.9140625,68.0625,99.2890625,48.8984375,1.40625,0.6328125,5.6875,0.515625,65.1953125,32.28125,54.765625,14.3203125,9.609375,5.9453125,16.7265625,11.3046875,4.125,3.9609375,7.125,6.421875,62.28125,28.8828125,67.5390625,25.15625,6.234375,5.171875,3.875,3.2734375,10.4140625,8.1328125,7.203125,3.6171875,59.03125,193.546875,649.3046875,18,1,1,0,6,7,1,0,0,1,2,2,2,0,Orthodox,182.88,190.5,155.0,27.0,41.0,2021,3,20,Leonardo Santos,383594.0,9808.0,257.0,1024.0,0.0,Grant Dawson,12898709.0,256664.0,3935.0,10515.0,0.0
Song Kenan,Max Griffin,Keith Peterson,2021-03-20,"Las Vegas, Nevada, USA",Blue,False,Welterweight,0.046875,0.125,0.4592773437499999,0.4046875,0.3221875,0.0688671875,0.189453125,0.0,0.283203125,0.0,130.818359375,60.11328125,129.337890625,50.548828125,151.5546875,78.32421875,137.427734375,58.5078125,2.73046875,1.453125,1.552734375,0.28515625,102.328125,38.814453125,111.267578125,37.830078125,20.951171875,14.419921875,12.15625,7.1796875,7.5390625,6.87890625,5.9140625,5.5390625,125.130859375,55.888671875,122.193359375,45.869140625,5.03125,3.763671875,6.263671875,3.966796875,0.65625,0.4609375,0.880859375,0.712890625,148.5078125,80.09765625,809.53125,28,0,0,1,1,4,6,0,1,0,1,2,0,0,Orthodox,180.34,193.04,170.0,0.625,0.0,0.493125,0.43,0.0,0.6875,0.0,0.25,0.25,0.25,73.8125,33.5,61.0625,26.5,77.5625,36.5625,67.4375,32.125,0.0,0.0,2.375,1.375,56.5625,23.375,51.5625,19.0625,11.375,5.875,5.5625,4.1875,5.875,4.25,3.9375,3.25,66.75,28.9375,55.75,23.6875,5.375,3.0,4.5,2.25,1.6875,1.5625,0.8125,0.5625,13.5,92.4375,445.0,10,0,2,0,2,4,1,0,0,0,1,3,0,0,Orthodox,182.88,180.34,170.0,35.0,31.0,2021,3,20,Song Kenan,31426732.0,424042.0,13117.0,21571.0,0.0,Max Griffin,522250.0,6551.0,588.0,2106.0,0.0
Derek Brunson,Kevin Holland,Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Middleweight,0.15625,0.0,0.7915820312499999,0.8505859375,0.26919921875,0.3933984375,0.029296875,0.080078125,0.0234375,0.041015625,39.2109375,26.078125,24.494140625,11.953125,61.64453125,47.791015625,31.279296875,17.46484375,0.935546875,0.529296875,2.759765625,1.451171875,31.01953125,19.921875,15.763671875,5.615234375,4.162109375,2.685546875,4.70703125,2.8203125,4.029296875,3.470703125,4.0234375,3.517578125,25.35546875,14.09375,17.171875,7.177734375,3.630859375,2.984375,1.857421875,1.353515625,10.224609375,9.0,5.46484375,3.421875,69.5,82.31640625,267.517578125,23,0,0,1,5,8,2,0,0,2,1,3,2,0,Orthodox,190.5,205.74,185.0,0.0245513916015625,0.220703125,0.5156361389160156,0.44597412109375,0.3558242797851562,0.0,9.1552734375e-05,0.0,0.0,0.0,133.4735107421875,72.17990112304688,95.71842956542967,41.511474609375,150.52398681640625,88.71699523925781,102.1464385986328,47.68928527832031,8.111679077148438,3.008209228515625,2.1568603515625,0.0,98.62075805664062,46.65184020996094,66.27102661132812,20.73251342773437,22.163742065429688,15.460418701171877,21.706512451171875,16.6983642578125,12.689010620117188,10.067642211914062,7.740890502929687,4.080596923828125,102.85295104980467,50.01177978515625,84.9866943359375,32.964813232421875,11.84820556640625,7.16400146484375,10.287551879882812,8.20220947265625,18.77235412597656,15.004119873046877,0.444183349609375,0.344451904296875,157.81211853027344,3.515289306640625,683.1185607910156,31,0,2,0,5,12,5,0,0,0,4,7,1,0,Southpaw,185.42,195.58,185.0,28.0,37.0,2021,3,20,Derek Brunson,8260767.0,139073.0,4154.0,32059.0,0.0,Kevin Holland,12362419.0,229555.0,6608.0,56455.0,0.0
Montel Jackson,Jesse Strader,Keith Peterson,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Bantamweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135.0,0.75,0.0,0.615,0.474375,0.66875,0.3868749999999999,0.0625,1.25,0.625,0.0,68.0,43.0,28.1875,12.9375,117.625,88.4375,41.6875,25.25,5.875,4.25,12.9375,4.8125,55.4375,31.8125,17.5,5.1875,9.0,8.3125,5.6875,3.5,3.5625,2.875,5.0,4.25,41.875,21.625,21.875,8.25,19.5,15.6875,5.25,4.1875,6.625,5.6875,1.0625,0.5,301.5625,303.5,850.0,13,0,0,1,3,3,2,0,0,0,2,0,1,0,Southpaw,177.8,190.5,135.0,29.0,28.0,2021,3,20,Montel Jackson,340547.0,3731.0,261.0,522.0,0.0,,,,,,
Bruno Silva,JP Buys,Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Flyweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,125.0,0.0,0.25,0.42,0.4175,0.3625,0.225,0.0,0.25,0.0,0.5,93.75,39.75,116.25,49.25,117.0,57.25,148.0,76.0,9.5,3.25,6.0,2.5,66.0,18.5,93.75,35.0,13.0,10.0,14.5,8.5,14.75,11.25,8.0,5.75,80.25,31.25,101.75,40.0,7.75,5.75,9.25,5.5,5.75,2.75,5.25,3.75,198.0,141.5,870.0,9,0,0,3,0,0,3,0,0,0,0,0,0,0,,182.88,,185.0,24.0,31.0,2021,3,20,Bruno Silva,2266684.0,25186.0,1125.0,2834.0,0.0,JP Buys,1262227.0,13631.0,793.0,2148.0,0.0
